,id,graph_class,n,k,status,best_solution,best_bound,linear_relaxation,extra_params,result_ticks,result_time
0,graphs/star/star_4.txt_2,star,4,2,101,1.0,1.0,,,1.0,0.033316612243652344
1,graphs/star/star_4.txt_1,star,4,1,101,0.0,0.0,,,0.0,0.015377044677734375
2,graphs/cubic/cubic_4.txt_2,cubic,4,2,101,0.0,0.0,,,0.0,0.017761707305908203
3,graphs/cubic/cubic_4.txt_1,cubic,4,1,101,0.0,0.0,,,0.0,0.010629653930664062
4,graphs/bipartite/bipartite_4.txt_2,bipartite,4,2,101,0.0,0.0,,,0.0,0.021352291107177734
5,graphs/bipartite/bipartite_4.txt_1,bipartite,4,1,101,0.0,0.0,,,0.0,0.0167691707611084
6,graphs/BA/BA_4.txt_2,BA,4,2,101,1.0,1.0,,,1.0,0.02418684959411621
7,graphs/BA/BA_4.txt_1,BA,4,1,101,0.0,0.0,,,0.0,0.015055179595947266
8,graphs/lollipop/lollipop_4.txt_2,lollipop,4,2,101,1.0,1.0,,,1.0,0.08501172065734863
9,graphs/lollipop/lollipop_4.txt_1,lollipop,4,1,101,0.0,0.0,,,0.0,0.020147085189819336
10,graphs/star/star_8.txt_4,star,8,4,101,3.0,3.0,,,3.0,0.0534367561340332
11,graphs/star/star_8.txt_2,star,8,2,101,1.0,1.0,,,1.0,0.06699895858764648
12,graphs/cubic/cubic_8.txt_4,cubic,8,4,101,1.0,1.0,,,1.0,0.06572914123535156
13,graphs/cubic/cubic_8.txt_2,cubic,8,2,101,0.0,0.0,,,0.0,0.025302648544311523
14,graphs/bipartite/bipartite_8.txt_4,bipartite,8,4,101,0.0,0.0,,,0.0,0.020761966705322266
15,graphs/bipartite/bipartite_8.txt_2,bipartite,8,2,101,0.0,0.0,,,0.0,0.024965524673461914
16,graphs/BA/BA_8.txt_4,BA,8,4,101,2.0,2.0,,,2.0,0.05048513412475586
17,graphs/BA/BA_8.txt_2,BA,8,2,101,0.0,0.0,,,0.0,0.0258023738861084
18,graphs/lollipop/lollipop_8.txt_4,lollipop,8,4,101,3.0,3.0,,,3.0,0.044945478439331055
19,graphs/lollipop/lollipop_8.txt_2,lollipop,8,2,101,1.0,1.0,,,1.0,0.019924163818359375
20,graphs/star/star_16.txt_8,star,16,8,101,7.0,7.0,,,7.0,0.042955636978149414
21,graphs/star/star_16.txt_4,star,16,4,101,3.0,3.0,,,3.0,0.04358100891113281
22,graphs/cubic/cubic_16.txt_8,cubic,16,8,101,4.0,4.0,,,4.0,0.0552372932434082
23,graphs/cubic/cubic_16.txt_4,cubic,16,4,101,1.0,1.0,,,1.0,0.048831939697265625
24,graphs/bipartite/bipartite_16.txt_8,bipartite,16,8,101,0.0,0.0,,,0.0,0.02243804931640625
25,graphs/bipartite/bipartite_16.txt_4,bipartite,16,4,101,0.0,0.0,,,0.0,0.025711536407470703
26,graphs/BA/BA_16.txt_8,BA,16,8,101,5.0,5.0,,,5.0,0.06125450134277344
27,graphs/BA/BA_16.txt_4,BA,16,4,101,2.0,2.0,,,2.0,0.060186147689819336
28,graphs/lollipop/lollipop_16.txt_8,lollipop,16,8,101,7.0,7.0,,,7.0,0.055252790451049805
29,graphs/lollipop/lollipop_16.txt_4,lollipop,16,4,101,3.0,3.0,,,3.0,0.0774679183959961
30,graphs/star/star_32.txt_16,star,32,16,101,15.0,15.0,,,15.0,0.07118558883666992
31,graphs/star/star_32.txt_8,star,32,8,101,7.0,7.0,,,7.0,0.05495309829711914
32,graphs/cubic/cubic_32.txt_16,cubic,32,16,101,12.0,12.0,,,12.0,0.09508466720581055
33,graphs/cubic/cubic_32.txt_8,cubic,32,8,101,4.0,4.0,,,4.0,0.0723412036895752
34,graphs/bipartite/bipartite_32.txt_16,bipartite,32,16,101,0.0,0.0,,,0.0,0.022901535034179688
35,graphs/bipartite/bipartite_32.txt_8,bipartite,32,8,101,0.0,0.0,,,0.0,0.023882389068603516
36,graphs/BA/BA_32.txt_16,BA,32,16,101,13.000000000000002,13.000000000000002,,,13.000000000000002,0.08161711692810059
37,graphs/BA/BA_32.txt_8,BA,32,8,101,5.0,5.0,,,5.0,0.06571364402770996
38,graphs/lollipop/lollipop_32.txt_16,lollipop,32,16,101,15.0,15.0,,,15.0,0.04827308654785156
39,graphs/lollipop/lollipop_32.txt_8,lollipop,32,8,101,7.0,7.0,,,7.0,0.05386853218078613
40,graphs/star/star_64.txt_32,star,64,32,101,31.0,31.0,,,31.0,0.046164751052856445
41,graphs/star/star_64.txt_16,star,64,16,101,15.0,15.0,,,15.0,0.04666447639465332
42,graphs/cubic/cubic_64.txt_32,cubic,64,32,101,28.0,28.0,,,28.0,0.10136795043945312
43,graphs/cubic/cubic_64.txt_16,cubic,64,16,101,12.0,12.0,,,12.0,0.1239919662475586
44,graphs/bipartite/bipartite_64.txt_32,bipartite,64,32,101,0.0,0.0,,,0.0,0.04207277297973633
45,graphs/bipartite/bipartite_64.txt_16,bipartite,64,16,101,0.0,0.0,,,0.0,0.0632784366607666
46,graphs/BA/BA_64.txt_32,BA,64,32,101,25.0,25.0,,,25.0,0.25241637229919434
47,graphs/BA/BA_64.txt_16,BA,64,16,101,11.0,11.0,,,11.0,0.10694622993469238
48,graphs/lollipop/lollipop_64.txt_32,lollipop,64,32,101,31.0,31.0,,,31.0,0.04583477973937988
49,graphs/lollipop/lollipop_64.txt_16,lollipop,64,16,101,15.0,15.0,,,15.0,0.06446528434753418
50,graphs/star/star_128.txt_64,star,128,64,101,63.0,63.0,,,63.0,0.05137467384338379
51,graphs/star/star_128.txt_32,star,128,32,101,31.0,31.0,,,31.0,0.05145859718322754
52,graphs/cubic/cubic_128.txt_64,cubic,128,64,101,60.0,60.0,,,60.0,0.17458057403564453
53,graphs/cubic/cubic_128.txt_32,cubic,128,32,101,28.0,28.0,,,28.0,0.16982603073120117
54,graphs/bipartite/bipartite_128.txt_64,bipartite,128,64,101,0.0,0.0,,,0.0,0.07871007919311523
55,graphs/bipartite/bipartite_128.txt_32,bipartite,128,32,101,0.0,0.0,,,0.0,0.0999751091003418
56,graphs/BA/BA_128.txt_64,BA,128,64,101,52.0,52.0,,,52.0,1.4292702674865723
57,graphs/BA/BA_128.txt_32,BA,128,32,101,23.0,23.0,,,23.0,0.5533945560455322
58,graphs/lollipop/lollipop_128.txt_64,lollipop,128,64,101,63.0,63.0,,,63.0,0.10673284530639648
59,graphs/lollipop/lollipop_128.txt_32,lollipop,128,32,101,31.000000000000014,31.000000000000014,,,31.000000000000014,0.10359072685241699
60,graphs/star/star_256.txt_128,star,256,128,101,127.0,127.0,,,127.0,0.08050704002380371
61,graphs/star/star_256.txt_64,star,256,64,101,63.0,63.0,,,63.0,0.07329010963439941
62,graphs/cubic/cubic_256.txt_128,cubic,256,128,101,124.0,124.0,,,124.0,0.2911543846130371
63,graphs/cubic/cubic_256.txt_64,cubic,256,64,101,60.0,60.0,,,60.0,0.506411075592041
64,graphs/bipartite/bipartite_256.txt_128,bipartite,256,128,101,0.0,0.0,,,0.0,0.33570241928100586
65,graphs/bipartite/bipartite_256.txt_64,bipartite,256,64,101,0.0,0.0,,,0.0,0.34957170486450195
66,graphs/BA/BA_256.txt_128,BA,256,128,101,104.0,104.0,,,104.0,169.33226466178894
67,graphs/BA/BA_256.txt_64,BA,256,64,101,48.0,48.0,,,48.0,24.881664514541626
68,graphs/lollipop/lollipop_256.txt_128,lollipop,256,128,101,127.0,127.0,,,127.0,0.25517892837524414
69,graphs/lollipop/lollipop_256.txt_64,lollipop,256,64,101,63.0,63.0,,,63.0,0.2639760971069336
70,graphs/star/star_512.txt_256,star,512,256,101,255.0,255.0,,,255.0,0.11005663871765137
71,graphs/star/star_512.txt_128,star,512,128,101,127.0,127.0,,,127.0,0.11748957633972168
72,graphs/cubic/cubic_512.txt_256,cubic,512,256,101,252.0,252.0,,,252.0,1.8563079833984375
73,graphs/cubic/cubic_512.txt_128,cubic,512,128,101,124.0,124.0,,,124.0,0.6394224166870117
74,graphs/bipartite/bipartite_512.txt_256,bipartite,512,256,101,0.0,0.0,,,0.0,26.196348667144775
75,graphs/bipartite/bipartite_512.txt_128,bipartite,512,128,101,0.0,0.0,,,0.0,24.68542718887329
