,id,graph_class,n,k,status,best_solution,best_bound,linear_relaxation,extra_params,result_ticks,result_time
0,graphs/star/star_4.txt_0,star,4,0,101,0.0,0.0,,,0.0,0.014214754104614258
1,graphs/star/star_4.txt_1,star,4,1,101,0.0,0.0,,,0.0,0.014348506927490234
2,graphs/star/star_4.txt_2,star,4,2,101,1.0,1.0,,,1.0,0.02904224395751953
3,graphs/star/star_4.txt_3,star,4,3,101,2.0,2.0,,,2.0,0.023768186569213867
4,graphs/star/star_8.txt_0,star,8,0,101,0.0,0.0,,,0.0,0.013579130172729492
5,graphs/star/star_8.txt_1,star,8,1,101,0.0,0.0,,,0.0,0.012136459350585938
6,graphs/star/star_8.txt_2,star,8,2,101,1.0,1.0,,,1.0,0.020578861236572266
7,graphs/star/star_8.txt_3,star,8,3,101,2.0,2.0,,,2.0,0.0233001708984375
8,graphs/star/star_8.txt_4,star,8,4,101,3.0,3.0,,,3.0,0.024058818817138672
9,graphs/star/star_8.txt_5,star,8,5,101,4.0,4.0,,,4.0,0.021944761276245117
10,graphs/star/star_8.txt_6,star,8,6,101,5.0,5.0,,,5.0,0.023729324340820312
11,graphs/star/star_8.txt_7,star,8,7,101,6.0,6.0,,,6.0,0.016468048095703125
12,graphs/star/star_16.txt_0,star,16,0,101,0.0,0.0,,,0.0,0.007873296737670898
13,graphs/star/star_16.txt_1,star,16,1,101,0.0,0.0,,,0.0,0.022864818572998047
14,graphs/star/star_16.txt_2,star,16,2,101,1.0,1.0,,,1.0,0.03443431854248047
15,graphs/star/star_16.txt_3,star,16,3,101,2.0,2.0,,,2.0,0.04682207107543945
16,graphs/star/star_16.txt_4,star,16,4,101,3.0,3.0,,,3.0,0.062134504318237305
17,graphs/star/star_16.txt_5,star,16,5,101,4.0,4.0,,,4.0,0.06554770469665527
18,graphs/star/star_16.txt_6,star,16,6,101,5.0,5.0,,,5.0,0.05449318885803223
19,graphs/star/star_16.txt_7,star,16,7,101,6.0,6.0,,,6.0,0.03582048416137695
