,Unnamed: 0,id,graph_class,n,k,status,best_solution,best_bound,linear_relaxation,extra_params,result_ticks,result_time
0,0,graphs/star/star_4.txt_2,star,4,2,101,1.0,1.0,,,1.0,0.0877869129180908
1,1,graphs/star/star_4.txt_1,star,4,1,101,0.0,0.0,,,0.0,0.0238285064697265
2,2,graphs/bipartite/bipartite_4.txt_2,bipartite,4,2,101,0.0,0.0,,,0.0,0.0430748462677001
3,3,graphs/bipartite/bipartite_4.txt_1,bipartite,4,1,101,0.0,0.0,,,0.0,0.049560546875
4,4,graphs/star/star_8.txt_4,star,8,4,101,3.0,3.0,,,3.0,0.0893394947052002
5,5,graphs/star/star_8.txt_2,star,8,2,101,1.0,1.0,,,1.0,0.0742392539978027
6,6,graphs/bipartite/bipartite_8.txt_4,bipartite,8,4,101,0.0,0.0,,,0.0,0.041576862335205
7,7,graphs/bipartite/bipartite_8.txt_2,bipartite,8,2,101,0.0,0.0,,,0.0,0.0363304615020751
8,8,graphs/star/star_16.txt_8,star,16,8,101,7.0,7.0,,,7.0,0.0807862281799316
9,9,graphs/star/star_16.txt_4,star,16,4,101,3.0,3.0,,,3.0,0.0703496932983398
10,10,graphs/bipartite/bipartite_16.txt_8,bipartite,16,8,101,0.0,0.0,,,0.0,0.0450072288513183
11,11,graphs/bipartite/bipartite_16.txt_4,bipartite,16,4,101,0.0,0.0,,,0.0,0.0482771396636962
12,12,graphs/star/star_32.txt_16,star,32,16,101,15.0,15.0,,,15.0,0.1400039196014404
13,13,graphs/star/star_32.txt_8,star,32,8,101,7.0,7.0,,,7.0,0.0974533557891845
14,14,graphs/bipartite/bipartite_32.txt_16,bipartite,32,16,101,0.0,0.0,,,0.0,0.0973803997039794
15,15,graphs/bipartite/bipartite_32.txt_8,bipartite,32,8,101,0.0,0.0,,,0.0,0.1037096977233886
16,16,graphs/star/star_64.txt_32,star,64,32,101,31.0,31.0,,,31.0,0.1006767749786377
17,17,graphs/star/star_64.txt_16,star,64,16,101,15.0,15.0,,,15.0,0.0892271995544433
18,18,graphs/bipartite/bipartite_64.txt_32,bipartite,64,32,101,0.0,0.0,,,0.0,0.0588588714599609
19,19,graphs/bipartite/bipartite_64.txt_16,bipartite,64,16,101,0.0,0.0,,,0.0,0.0618786811828613
20,20,graphs/star/star_128.txt_64,star,128,64,101,63.0,63.0,,,63.0,0.1017916202545166
21,21,graphs/star/star_128.txt_32,star,128,32,101,31.0,31.0,,,31.0,0.1474149227142334
22,22,graphs/bipartite/bipartite_128.txt_64,bipartite,128,64,101,0.0,0.0,,,0.0,0.2086610794067382
23,23,graphs/bipartite/bipartite_128.txt_32,bipartite,128,32,101,0.0,0.0,,,0.0,0.1369028091430664
24,24,graphs/star/star_256.txt_128,star,256,128,101,127.0,127.0,,,127.0,0.100224494934082
25,25,graphs/star/star_256.txt_64,star,256,64,101,63.0,63.0,,,63.0,0.1356480121612548
26,26,graphs/bipartite/bipartite_256.txt_128,bipartite,256,128,101,0.0,0.0,,,0.0,0.4472372531890869
27,27,graphs/bipartite/bipartite_256.txt_64,bipartite,256,64,101,0.0,0.0,,,0.0,0.4604928493499756
28,28,graphs/star/star_512.txt_256,star,512,256,101,255.0,255.0,,,255.0,0.1684911251068115
29,29,graphs/star/star_512.txt_128,star,512,128,101,127.0,127.0,,,127.0,0.1575417518615722
30,30,graphs/bipartite/bipartite_512.txt_256,bipartite,512,256,101,0.0,0.0,,,0.0,38.32096219062805
31,31,graphs/bipartite/bipartite_512.txt_128,bipartite,512,128,101,0.0,0.0,,,0.0,31.67998242378235
32,32,graphs/star/star_1024.txt_512,star,1024,512,101,511.0,511.0,,,511.0,0.2163870334625244
33,33,graphs/star/star_1024.txt_256,star,1024,256,101,255.0,255.0,,,255.0,0.2124876976013183
34,34,graphs/star/star_2048.txt_1024,star,2048,1024,101,1023.0,1023.0,,,1023.0,0.6242239475250244
35,35,graphs/star/star_2048.txt_512,star,2048,512,101,511.0,511.0,,,511.0,0.6166279315948486
36,36,graphs/star/star_4096.txt_2048,star,4096,2048,101,2047.0,2047.0,,,2047.0,2.9016213417053223
37,37,graphs/star/star_4096.txt_1024,star,4096,1024,101,1023.0,1023.0,,,1023.0,2.2368979454040527
38,38,graphs/star/star_8192.txt_4096,star,8192,4096,101,4095.0,4095.0,,,4095.0,8.037655115127563
39,39,graphs/star/star_8192.txt_2048,star,8192,2048,101,2047.0,2047.0,,,2047.0,9.719138860702516
40,40,graphs/star/star_16384.txt_8192,star,16384,8192,101,8191.0,8191.0,,,8191.0,45.80750989913941
41,41,graphs/star/star_16384.txt_4096,star,16384,4096,101,4095.0,4095.0,,,4095.0,39.968886375427246
